                page6_oram8000,    6400,      linear_load_test_u64,        771848,    67        100
                page6_oram8000,    6400,     linear_store_test_u64,         10988,    7d        100
                page6_oram8000,    6400,             binsearch_u64,        369692,    7d        100
                page6_oram8000,    6400,                  dijkstra,      33387420,    f7        100
                page6_oram8000,    6400,                      hist,    2518760688,    1d        100
                page6_oram8000,    6400,                    matmul,   75196393310,    8b        100
                page6_oram8000,    6400,                 qsort_u32,      27676892,    de          1
                page6_oram8000,    6400,                 qsort_u64,      34625984,    5e          1
                page6_oram8000,    6400,                 radixsort,     134157846,    5e          1
                       oram200,     200,                      TEST,          TICK,  HASH        REP
                       oram200,     200,      random_load_test_u64,       3575010,    38        100
                       oram200,     200,     random_store_test_u64,       7175040,    ec        100
                       oram200,     200,      linear_load_test_u64,       2297058,    1a        100
                       oram200,     200,     linear_store_test_u64,       4791172,    f7        100
                       oram200,     200,             binsearch_u64,       6787248,    f7        100
                       oram200,     200,                  dijkstra,      92452076,    d8        100
                       oram200,     200,                      hist,     318663296,    d7        100
                       oram200,     200,                    matmul,    1575831918,     8        100
                       oram200,     200,                 qsort_u32,      27058770,     8          1
                       oram200,     200,                 qsort_u64,      10732404,     8          1
                       oram200,     200,                 radixsort,      44862294,     8          1
                       oram200,     200,                      TEST,          TICK,  HASH        REP
                       oram200,     200,      random_load_test_u64,       3555554,    38        100
                       oram200,     200,     random_store_test_u64,       7209826,    ec        100
                       oram200,     200,      linear_load_test_u64,       3269632,    1a        100
                       oram200,     200,     linear_store_test_u64,       4532136,    f7        100
                       oram200,     200,             binsearch_u64,       6792106,    f7        100
                       oram200,     200,                  dijkstra,      92433466,    d8        100
                       oram200,     200,                      hist,     318681474,    d7        100
                       oram200,     200,                    matmul,    1575728636,     8        100
                       oram200,     200,                 qsort_u32,      27071944,     8          1
                       oram200,     200,                 qsort_u64,      10733026,     8          1
                       oram200,     200,                 radixsort,      44858948,     8          1
                       oram200,     300,                      TEST,          TICK,  HASH        REP
                       oram200,     300,      random_load_test_u64,       2977770,    bf        100
                       oram200,     300,     random_store_test_u64,       5714478,    dc        100
                       oram200,     300,      linear_load_test_u64,       1569924,    3b        100
                       oram200,     300,     linear_store_test_u64,       3610504,     b        100
                       oram200,     300,             binsearch_u64,       9710774,     b        100
                       oram200,     300,                  dijkstra,     182365304,    d8        100
                       oram200,     300,                      hist,     606966184,    c2        100
                       oram200,     300,                    matmul,    1720053590,    29        100
                       oram200,     300,                 qsort_u32,      60244482,    b3          1
                       oram200,     300,                 qsort_u64,      19942120,    b3          1
                       oram200,     300,                 radixsort,      74030728,    b3          1
                       oram500,     400,                      TEST,          TICK,  HASH        REP
                       oram500,     400,      random_load_test_u64,       2969504,    c9        100
                       oram500,     400,     random_store_test_u64,       5893900,    ea        100
                       oram500,     400,      linear_load_test_u64,       1835762,     f        100
                       oram500,     400,     linear_store_test_u64,       3683312,    51        100
                       oram500,     400,             binsearch_u64,       9944992,    51        100
                       oram500,     400,                  dijkstra,     201990402,    5a        100
                       oram500,     400,                      hist,     740435420,     d        100
                       oram500,     400,                    matmul,    2769657064,    a9        100
                       oram500,     400,                 qsort_u32,      64430898,    44          1
                       oram500,     400,                 qsort_u64,      23967622,    c4          1
                       oram500,     400,                 radixsort,      90005242,    c4          1
                       oram500,     600,                      TEST,          TICK,  HASH        REP
                       oram500,     600,      random_load_test_u64,       2444668,    12        100
                       oram500,     600,     random_store_test_u64,       4796418,    28        100
                       oram500,     600,      linear_load_test_u64,       2237550,     b        100
                       oram500,     600,     linear_store_test_u64,       4201568,    fa        100
                       oram500,     600,             binsearch_u64,      14230794,    fa        100
                       oram500,     600,                  dijkstra,     419383334,    83        100
                       oram500,     600,                      hist,    1397000822,    1b        100
                       oram500,     600,                    matmul,    8377385542,    15        100
                       oram500,     600,                 qsort_u32,     175131546,    d3          1
                       oram500,     600,                 qsort_u64,      49282380,    53          1
                       oram500,     600,                 radixsort,     182743792,    d3          1
                      oram1000,     700,                      TEST,          TICK,  HASH        REP
                      oram1000,     700,      random_load_test_u64,       2239384,    75        100
                      oram1000,     700,     random_store_test_u64,       4044918,    a0        100
                      oram1000,     700,      linear_load_test_u64,       1768392,    c9        100
                      oram1000,     700,     linear_store_test_u64,       3422096,    e7        100
                      oram1000,     700,             binsearch_u64,      12464164,    e7        100
                      oram1000,     700,                  dijkstra,     383114028,    d3        100
                      oram1000,     700,                      hist,    1330502830,    d9        100
                      oram1000,     700,                    matmul,    6635271422,    2f        100
                      oram1000,     700,                 qsort_u32,     145346592,    99          1
                      oram1000,     700,                 qsort_u64,      47402206,    99          1
                      oram1000,     700,                 radixsort,     156952470,    19          1
                      oram1000,     800,                      TEST,          TICK,  HASH        REP
                      oram1000,     800,      random_load_test_u64,       2230520,    1c        100
                      oram1000,     800,     random_store_test_u64,       4056360,    f1        100
                      oram1000,     800,      linear_load_test_u64,       1915860,    ed        100
                      oram1000,     800,     linear_store_test_u64,       3520926,     0        100
                      oram1000,     800,             binsearch_u64,      12846246,     0        100
                      oram1000,     800,                  dijkstra,     464753844,    d4        100
                      oram1000,     800,                      hist,    1605559198,    84        100
                      oram1000,     800,                    matmul,   10147275690,    47        100
                      oram1000,     800,                 qsort_u32,     197318320,    99          1
                      oram1000,     800,                 qsort_u64,      74594954,    99          1
                      oram1000,     800,                 radixsort,     195880674,    99          1
                      oram2000,    1200,                      TEST,          TICK,  HASH        REP
                      oram2000,    1200,      random_load_test_u64,       2328876,    47        100
                      oram2000,    1200,     random_store_test_u64,       4182380,    7d        100
                      oram2000,    1200,      linear_load_test_u64,       1754526,    4d        100
                      oram2000,    1200,     linear_store_test_u64,       3386044,    27        100
                      oram2000,    1200,             binsearch_u64,      15209144,    27        100
                      oram2000,    1200,                  dijkstra,     615398328,    d1        100
                      oram2000,    1200,                      hist,    2303770732,     1        100
                      oram2000,    1200,                    matmul,   13114037368,    b1        100
                      oram2000,    1200,                 qsort_u32,     229004838,    6b          1
                      oram2000,    1200,                 qsort_u64,     103002214,    6b          1
                      oram2000,    1200,                 radixsort,     265218076,    6b          1
                      oram2000,    1600,                      TEST,          TICK,  HASH        REP
                      oram2000,    1600,      random_load_test_u64,       2626452,    1f        100
                      oram2000,    1600,     random_store_test_u64,       4626422,    f5        100
                      oram2000,    1600,      linear_load_test_u64,       1938278,     b        100
                      oram2000,    1600,     linear_store_test_u64,       4042784,    65        100
                      oram2000,    1600,             binsearch_u64,      16574622,    65        100
                      oram2000,    1600,                  dijkstra,     801298550,    ed        100
                      oram2000,    1600,                      hist,    3260550176,    96        100
                      oram2000,    1600,                    matmul,   24337636230,    e1        100
                      oram2000,    1600,                 qsort_u32,     398308180,    f6          1
                      oram2000,    1600,                 qsort_u64,     134972820,    f6          1
                      oram2000,    1600,                 radixsort,     386284376,    f6          1
                      oram4000,    2400,                      TEST,          TICK,  HASH        REP
                      oram4000,    2400,      random_load_test_u64,       3129610,    63        100
                      oram4000,    2400,     random_store_test_u64,       5156496,    14        100
                      oram4000,    2400,      linear_load_test_u64,       2109120,    9b        100
                      oram4000,    2400,     linear_store_test_u64,       3812416,    a9        100
                      oram4000,    2400,             binsearch_u64,      19965870,    a9        100
                      oram4000,    2400,                  dijkstra,    1291616346,    bc        100
                      oram4000,    2400,                      hist,    5176863370,    87        100
                      oram4000,    2400,                    matmul,   50331980854,     a        100
                      oram4000,    2400,                 qsort_u32,     607026970,    58          1
                      oram4000,    2400,                 qsort_u64,     277825774,    d8          1
                      oram4000,    2400,                 radixsort,     600150526,    58          1
                      oram4000,    3200,                      TEST,          TICK,  HASH        REP
                      oram4000,    3200,      random_load_test_u64,       3027054,    3e        100
                      oram4000,    3200,     random_store_test_u64,       5620746,    1e        100
                      oram4000,    3200,      linear_load_test_u64,       2131278,     5        100
                      oram4000,    3200,     linear_store_test_u64,       4268872,    73        100
                      oram4000,    3200,             binsearch_u64,      22089098,    73        100
                      oram4000,    3200,                  dijkstra,    1893776772,    86        100
                      oram4000,    3200,                      hist,    7538142286,    67        100
                      oram4000,    3200,                    matmul,   78724105586,    d7        100
                      oram4000,    3200,                 qsort_u32,    1048734822,    9f          1
                      oram4000,    3200,                 qsort_u64,     393723350,    9f          1
                      oram4000,    3200,                 radixsort,     870648398,    1f          1
                      oram8000,    4800,                      TEST,          TICK,  HASH        REP
                      oram8000,    4800,      random_load_test_u64,       3563388,    4b        100
                      oram8000,    4800,     random_store_test_u64,       5574410,    b1        100
                      oram8000,    4800,      linear_load_test_u64,       2223836,    de        100
                      oram8000,    4800,     linear_store_test_u64,       4098210,    bc        100
                      oram8000,    4800,             binsearch_u64,      24713894,    bc        100
                      oram8000,    4800,                  dijkstra,    2586621720,    65        100
                      oram8000,    4800,                      hist,   10933222798,    d3        100
                      oram8000,    4800,                    matmul,  123225310124,     2        100
                      oram8000,    4800,                 qsort_u32,    1548165370,    9f          1
                      oram8000,    4800,                 qsort_u64,     609806970,    1f          1
                      oram8000,    4800,                 radixsort,    1216685838,    1f          1
./run-tests-oram.sh: line 64: 0: command not found
                      oram2000,    1200,                      TEST,          TICK,  HASH        REP
                      oram2000,    1200,      random_load_test_u64,       2328006,    47        100
                      oram2000,    1200,     random_store_test_u64,       4177460,    7d        100
                      oram2000,    1200,      linear_load_test_u64,       1749190,    4d        100
                      oram2000,    1200,     linear_store_test_u64,       3384280,    27        100
                      oram2000,    1200,             binsearch_u64,      15196932,    27        100
                      oram2000,    1200,                  dijkstra,     615221764,    d1        100
                      oram2000,    1200,                      hist,    2302794542,     1        100
                      oram2000,    1200,                    matmul,   13111527752,    b1        100
                      oram2000,    1200,                 qsort_u32,     229048554,    6b          1
                      oram2000,    1200,                 qsort_u64,     103016934,    6b          1
                      oram2000,    1200,                 radixsort,     265262286,    6b          1
                      oram2000,    1600,                      TEST,          TICK,  HASH        REP
                      oram2000,    1600,      random_load_test_u64,       2623854,    1f        100
                      oram2000,    1600,     random_store_test_u64,       4636060,    f5        100
                      oram2000,    1600,      linear_load_test_u64,       1939430,     b        100
                      oram2000,    1600,     linear_store_test_u64,       4043660,    65        100
                      oram2000,    1600,             binsearch_u64,      16572584,    65        100
                      oram2000,    1600,                  dijkstra,     801360066,    ed        100
                      oram2000,    1600,                      hist,    3261218682,    96        100
                      oram2000,    1600,                    matmul,   24337797004,    e1        100
                      oram2000,    1600,                 qsort_u32,     398349044,    f6          1
                      oram2000,    1600,                 qsort_u64,     134940860,    f6          1
                      oram2000,    1600,                 radixsort,     386322716,    f6          1
                      oram4000,    2400,                      TEST,          TICK,  HASH        REP
                      oram4000,    2400,      random_load_test_u64,       3128840,    63        100
                      oram4000,    2400,     random_store_test_u64,       5149058,    14        100
                      oram4000,    2400,      linear_load_test_u64,       2108404,    9b        100
                      oram4000,    2400,     linear_store_test_u64,       3816402,    a9        100
                      oram4000,    2400,             binsearch_u64,      19969700,    a9        100
                      oram4000,    2400,                  dijkstra,    1291624136,    bc        100
                      oram4000,    2400,                      hist,    5176803304,    87        100
                      oram4000,    2400,                    matmul,   50343943932,     a        100
                      oram4000,    2400,                 qsort_u32,     606796030,    58          1
                      oram4000,    2400,                 qsort_u64,     278136636,    d8          1
                      oram4000,    2400,                 radixsort,     600181136,    58          1
                      oram4000,    3200,                      TEST,          TICK,  HASH        REP
                      oram4000,    3200,      random_load_test_u64,       3028604,    3e        100
                      oram4000,    3200,     random_store_test_u64,       5607822,    1e        100
                      oram4000,    3200,      linear_load_test_u64,       2128644,     5        100
                      oram4000,    3200,     linear_store_test_u64,       4264442,    73        100
                      oram4000,    3200,             binsearch_u64,      22070496,    73        100
                      oram4000,    3200,                  dijkstra,    1891719358,    86        100
                      oram4000,    3200,                      hist,    7529472974,    67        100
                      oram4000,    3200,                    matmul,   78619797172,    d7        100
                      oram4000,    3200,                 qsort_u32,    1047607428,    9f          1
                      oram4000,    3200,                 qsort_u64,     392886708,    9f          1
                      oram4000,    3200,                 radixsort,     870307388,    1f          1
                      oram8000,    4800,                      TEST,          TICK,  HASH        REP
                      oram8000,    4800,      random_load_test_u64,       3564388,    4b        100
                      oram8000,    4800,     random_store_test_u64,       5579012,    b1        100
                      oram8000,    4800,      linear_load_test_u64,       2225626,    de        100
                      oram8000,    4800,     linear_store_test_u64,       4101770,    bc        100
                      oram8000,    4800,             binsearch_u64,      24734188,    bc        100
                      oram8000,    4800,                  dijkstra,    2599637576,    65        100
                      oram8000,    4800,                      hist,   10991308494,    d3        100
                      oram8000,    4800,                    matmul,  123703055784,     2        100
                      oram8000,    4800,                 qsort_u32,    1556889374,    9f          1
                      oram8000,    4800,                 qsort_u64,     613079520,    1f          1
                      oram8000,    4800,                 radixsort,    1223760362,    1f          1
                      oram8000,    6400,                      TEST,          TICK,  HASH        REP
                      oram8000,    6400,      random_load_test_u64,       3692288,    a5        100
                      oram8000,    6400,     random_store_test_u64,       6081972,     3        100
                      oram8000,    6400,      linear_load_test_u64,       2418298,    67        100
                      oram8000,    6400,     linear_store_test_u64,       4351656,    7d        100
                      oram8000,    6400,             binsearch_u64,      26561348,    7d        100
                      oram8000,    6400,                  dijkstra,    3631210630,    f7        100
                      oram8000,    6400,                      hist,   15750923550,    1d        100
                      oram8000,    6400,                    matmul,  232075080120,    8b        100
                      oram8000,    6400,                 qsort_u32,    2266326710,    de          1
                      oram8000,    6400,                 qsort_u64,    1128056804,    5e          1
                      oram8000,    6400,                 radixsort,    1817868696,    5e          1
