   8,          rasm_indjmp,       base,     500,       linear_swap_test_u8,     122827084,   9df829d0
   8,          rasm_indjmp,       base,     500,                 qsort_u32,       4437658,   3999e051
   8,          rasm_indjmp,       base,     500,                 radixsort,       3980102,   c6d2ce51
   8,            rasm_cmov,       base,     500,                      TEST,          TICK,       HASH
   8,            rasm_cmov,       base,     500,      random_load_test_u64,      82988572,   8222c97a
   8,            rasm_cmov,       base,     500,      linear_load_test_u64,      82093752,    dcee904
   8,            rasm_cmov,       base,     500,     random_store_test_u64,      83438010,   74483ee5
   8,            rasm_cmov,       base,     500,     linear_store_test_u64,      81912674,   68cc5a06
   8,            rasm_cmov,       base,     500,    random_load_test_u64x8,     490345458,         a3
   8,            rasm_cmov,       base,     500,      random_swap_test_u64,     230672732,   cb709f06
   8,            rasm_cmov,       base,     500,       random_swap_test_u8,     357424336,   2f427c26
   8,            rasm_cmov,       base,     500,       linear_swap_test_u8,     365567728,   9df829d0
   8,            rasm_cmov,       base,     500,                 qsort_u32,       9550590,   3999e051
   8,            rasm_cmov,       base,     500,                 radixsort,       9666956,   c6d2ce51
   8,       rasm_perm_cmov,       base,     500,                      TEST,          TICK,       HASH
   8,       rasm_perm_cmov,       base,     500,      random_load_test_u64,      35972526,   8222c97a
   8,       rasm_perm_cmov,       base,     500,      linear_load_test_u64,      33184708,    dcee904
   8,       rasm_perm_cmov,       base,     500,     random_store_test_u64,      83525180,   74483ee5
   8,       rasm_perm_cmov,       base,     500,     linear_store_test_u64,      82226970,   68cc5a06
   8,       rasm_perm_cmov,       base,     500,    random_load_test_u64x8,     212451756,         a3
   8,       rasm_perm_cmov,       base,     500,      random_swap_test_u64,     156226674,   cb709f06
   8,       rasm_perm_cmov,       base,     500,       random_swap_test_u8,     210803030,   2f427c26
   8,       rasm_perm_cmov,       base,     500,       linear_swap_test_u8,     215919142,   9df829d0
   8,       rasm_perm_cmov,       base,     500,                 qsort_u32,       6080838,   3999e051
   8,       rasm_perm_cmov,       base,     500,                 radixsort,       6014526,   c6d2ce51
   8,     rasm_perm_indjmp,       base,     500,                      TEST,          TICK,       HASH
   8,     rasm_perm_indjmp,       base,     500,      random_load_test_u64,      34931174,   8222c97a
   8,     rasm_perm_indjmp,       base,     500,      linear_load_test_u64,      33207752,    dcee904
   8,     rasm_perm_indjmp,       base,     500,     random_store_test_u64,      78000826,   74483ee5
   8,     rasm_perm_indjmp,       base,     500,     linear_store_test_u64,      36716248,   68cc5a06
   8,     rasm_perm_indjmp,       base,     500,    random_load_test_u64x8,     212440790,         a3
   8,     rasm_perm_indjmp,       base,     500,      random_swap_test_u64,     148677340,   cb709f06
   8,     rasm_perm_indjmp,       base,     500,       random_swap_test_u8,     206354762,   2f427c26
   8,     rasm_perm_indjmp,       base,     500,       linear_swap_test_u8,     145572942,   9df829d0
   8,     rasm_perm_indjmp,       base,     500,                 qsort_u32,       5104274,   3999e051
   8,     rasm_perm_indjmp,       base,     500,                 radixsort,       4773732,   c6d2ce51
   5,          rasm_indjmp,       base,    1000,                      TEST,          TICK,       HASH
   5,          rasm_indjmp,       base,    1000,      random_load_test_u64,      74345022,   8222c97a
   5,          rasm_indjmp,       base,    1000,      linear_load_test_u64,      34211138,    dcee904
   5,          rasm_indjmp,       base,    1000,     random_store_test_u64,      78007746,   74483ee5
   5,          rasm_indjmp,       base,    1000,     linear_store_test_u64,      36407018,   68cc5a06
   5,          rasm_indjmp,       base,    1000,    random_load_test_u64x8,     216425398,         a3
   5,          rasm_indjmp,       base,    1000,      random_swap_test_u64,     209299840,   cb709f06
   5,          rasm_indjmp,       base,    1000,       random_swap_test_u8,     242634486,   2f427c26
   5,          rasm_indjmp,       base,    1000,       linear_swap_test_u8,     124500988,   9df829d0
   5,          rasm_indjmp,       base,    1000,                 qsort_u32,       4443438,   3999e051
   5,          rasm_indjmp,       base,    1000,                 radixsort,       3998652,   c6d2ce51
   5,            rasm_cmov,       base,    1000,                      TEST,          TICK,       HASH
   5,            rasm_cmov,       base,    1000,      random_load_test_u64,      83249858,   8222c97a
   5,            rasm_cmov,       base,    1000,      linear_load_test_u64,      82325894,    dcee904
   5,            rasm_cmov,       base,    1000,     random_store_test_u64,      83267980,   74483ee5
   5,            rasm_cmov,       base,    1000,     linear_store_test_u64,      81941238,   68cc5a06
   5,            rasm_cmov,       base,    1000,    random_load_test_u64x8,     481173430,         a3
   5,            rasm_cmov,       base,    1000,      random_swap_test_u64,     234701278,   cb709f06
