                          base,     512,        all, HEADER,                      TEST,          TICK,  HASH,        REP
                          base,   10240,        all, RESULT,                    matmul,      37809988,    3c,        100
                          base,   10240,        all, RESULT,                 qsort_u32,      67599644,    e2,        100
                          base,   10240,        all, RESULT,                 qsort_u64,      31030084,    e2,        100
                          base,   10240,        all, RESULT,                 radixsort,      60026556,    e2,        100
                          base,   12288,        all, RESULT,             binsearch_u64,         18404,    68,        100
                          base,   12288,        all, RESULT,                  dijkstra,       8982482,    ad,        100
                          base,   12288,        all, RESULT,                      hist,       3990970,    ac,        100
                          base,   12288,        all, RESULT,                    matmul,      45747336,    4a,        100
                          base,   12288,        all, RESULT,                 qsort_u32,      82965358,    1c,        100
                          base,   12288,        all, RESULT,                 qsort_u64,      37615660,    9c,        100
                          base,   12288,        all, RESULT,                 radixsort,      71601394,    1c,        100
                          base,   14336,        all, RESULT,             binsearch_u64,         25372,    bb,        100
                          base,   14336,        all, RESULT,                  dijkstra,      10609130,    a2,        100
                          base,   14336,        all, RESULT,                      hist,       4562440,    46,        100
                          base,   14336,        all, RESULT,                    matmul,      59475102,    c3,        100
                          base,   14336,        all, RESULT,                 qsort_u32,      99004028,    e7,        100
                          base,   14336,        all, RESULT,                 qsort_u64,      44889456,    67,        100
                          base,   14336,        all, RESULT,                 radixsort,      83518160,    e7,        100
                          base,   16384,        all, RESULT,             binsearch_u64,         38330,    70,        100
                          base,   16384,        all, RESULT,                  dijkstra,      17411310,    85,        100
                          base,   16384,        all, RESULT,                      hist,       5289016,    da,        100
                          base,   16384,        all, RESULT,                    matmul,      70099300,    fb,        100
                          base,   16384,        all, RESULT,                 qsort_u32,     114200580,    ef,        100
                          base,   16384,        all, RESULT,                 qsort_u64,      52588786,    6f,        100
                          base,   16384,        all, RESULT,                 radixsort,      96874372,    6f,        100
                          base,   20480,        all, RESULT,             binsearch_u64,         27446,    79,        100
                          base,   20480,        all, RESULT,                  dijkstra,      16428966,    b4,        100
                          base,   20480,        all, RESULT,                      hist,       6625410,    f6,        100
                          base,   20480,        all, RESULT,                    matmul,     101877410,    d7,        100
                          base,   20480,        all, RESULT,                 qsort_u32,     146962802,     6,        100
                          base,   20480,        all, RESULT,                 qsort_u64,      67630408,    86,        100
                          base,   20480,        all, RESULT,                 radixsort,     119754212,    86,        100
                          base,   24576,        all, RESULT,             binsearch_u64,         40952,    ad,        100
                          base,   24576,        all, RESULT,                  dijkstra,      23095890,    64,        100
                          base,   24576,        all, RESULT,                      hist,       7908024,    65,        100
                          base,   24576,        all, RESULT,                    matmul,     133300888,    60,        100
                          base,   24576,        all, RESULT,                 qsort_u32,     177373460,    d9,        100
                          base,   24576,        all, RESULT,                 qsort_u64,      83091254,    d9,        100
                          base,   24576,        all, RESULT,                 radixsort,     143273292,    59,        100
                          base,   28672,        all, RESULT,             binsearch_u64,         20646,    9d,        100
                          base,   28672,        all, RESULT,                  dijkstra,      20093288,    36,        100
                          base,   28672,        all, RESULT,                      hist,       9284442,    e7,        100
                          base,   28672,        all, RESULT,                    matmul,     161006500,    d5,        100
                          base,   28672,        all, RESULT,                 qsort_u32,     214435228,    59,        100
                          base,   28672,        all, RESULT,                 qsort_u64,      97573134,    59,        100
                          base,   28672,        all, RESULT,                 radixsort,     167092922,    59,        100
                          base,   32768,        all, RESULT,             binsearch_u64,         43528,    c7,        100
                          base,   32768,        all, RESULT,                  dijkstra,      30057158,    19,        100
                          base,   32768,        all, RESULT,                      hist,      10464654,    55,        100
                          base,   32768,        all, RESULT,                    matmul,     203190196,    da,        100
                          base,   32768,        all, RESULT,                 qsort_u32,     248021932,    fd,        100
                          base,   32768,        all, RESULT,                 qsort_u64,     114314686,    fd,        100
                          base,   32768,        all, RESULT,                 radixsort,     191345948,    7d,        100
                          base,   40960,        all, RESULT,             binsearch_u64,         28522,    4f,        100
                          base,   40960,        all, RESULT,                  dijkstra,      29678416,    c5,        100
